Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,78.580002,78.93,77.699997,78.449997,78.366852,18177500
1/5/2015,77.980003,79.25,76.860001,77.190002,77.108192,26452200
1/6/2015,77.230003,77.589996,75.360001,76.150002,76.06929,27399300
1/7/2015,76.760002,77.360001,75.82,76.150002,76.06929,22045300
1/8/2015,76.739998,78.230003,76.080002,78.18,78.097137,23961000
1/9/2015,78.199997,78.620003,77.199997,77.739998,77.6576,21157000
1/12/2015,77.839996,78,76.209999,76.720001,76.638687,19190200
1/13/2015,77.230003,78.080002,75.849998,76.449997,76.368965,25179600
1/14/2015,76.419998,77.199997,76.029999,76.279999,76.19915,25918600
1/15/2015,76.400002,76.57,73.540001,74.050003,73.971519,34134000
1/16/2015,74.040001,75.32,73.839996,75.18,75.100319,21791500
1/20/2015,75.720001,76.309998,74.82,76.239998,76.159195,22821600
1/21/2015,76.160004,77.300003,75.849998,76.739998,76.658661,25096700
1/22/2015,77.169998,77.75,76.68,77.650002,77.567703,19519500
1/23/2015,77.650002,78.190002,77.040001,77.830002,77.747513,16746500
1/26/2015,77.980003,78.470001,77.290001,77.5,77.417862,19260800
1/27/2015,76.709999,76.879997,75.629997,75.779999,75.699684,20110000
1/28/2015,76.900002,77.639999,76,76.239998,76.159195,53306400
1/29/2015,76.849998,78.019997,74.209999,78,77.917328,61293500
1/30/2015,78,78.160004,75.75,75.910004,75.829544,42649500
2/2/2015,76.110001,76.139999,73.75,74.989998,74.910515,41955300
2/3/2015,75.190002,75.580002,73.860001,75.400002,75.320084,26957700
2/4/2015,75.089996,76.349998,75.010002,75.629997,75.549835,20277400
2/5/2015,75.709999,75.980003,75.209999,75.610001,75.529861,15062600
2/6/2015,75.68,75.699997,74.25,74.470001,74.391068,21211000
2/9/2015,74.050003,74.830002,73.449997,74.440002,74.361107,16194300
2/10/2015,74.849998,75.339996,74.5,75.190002,75.110306,15811300
2/11/2015,75.089996,76.75,75.029999,76.510002,76.428909,20877400
2/12/2015,76.860001,76.870003,75.889999,76.230003,76.149208,17235000
2/13/2015,76.459999,76.480003,75.5,75.739998,75.659721,18621900
2/17/2015,75.300003,76.910004,75.080002,75.599998,75.519875,25254400
2/18/2015,75.940002,76.900002,75.449997,76.709999,76.628693,22426400
2/19/2015,76.989998,79.839996,76.949997,79.419998,79.335823,45851200
2/20/2015,79.550003,80.339996,79.199997,79.900002,79.815315,36931700
2/23/2015,79.959999,80.190002,78.379997,78.839996,78.756432,24139100
2/24/2015,78.5,79.480003,78.099998,78.449997,78.366852,18897100
2/25/2015,78.5,80.199997,78.5,79.559998,79.47567,25593800
2/26/2015,79.879997,81.370003,79.720001,80.410004,80.324776,31111900
2/27/2015,80.68,81.230003,78.620003,78.970001,78.886299,30739200
3/2/2015,79,79.860001,78.519997,79.75,79.665474,21662500
3/3/2015,79.610001,79.699997,78.519997,79.599998,79.515633,18635000
3/4/2015,79.300003,81.150002,78.849998,80.900002,80.814255,28126700
3/5/2015,81.230003,81.989998,81.050003,81.209999,81.123924,27825700
3/6/2015,80.900002,81.330002,79.830002,80.010002,79.925201,24488600
3/9/2015,79.68,79.910004,78.629997,79.440002,79.355804,18925100
3/10/2015,78.5,79.260002,77.550003,77.550003,77.467812,23067100
3/11/2015,77.800003,78.43,77.260002,77.57,77.487785,20215700
3/12/2015,78.099998,79.050003,77.910004,78.93,78.846344,16093300
3/13/2015,78.599998,79.379997,77.68,78.050003,77.967278,18557300
3/16/2015,77.959999,78.120003,77.360001,78.07,77.987251,19305400
3/17/2015,78.360001,79.779999,78.339996,79.360001,79.275887,22170000
3/18/2015,79.25,81.239998,79.169998,80.910004,80.824249,36912400
3/19/2015,81.120003,83,81,82.75,82.662292,42099500
3/20/2015,83.389999,84.599998,83.07,83.800003,83.711182,44466300
3/23/2015,83.919998,84.959999,83.300003,84.43,84.340515,27357300
3/24/2015,84.709999,86.07,84.519997,85.309998,85.219582,32576500
3/25/2015,85.5,85.519997,82.919998,82.919998,82.832115,37436100
3/26/2015,82.720001,83.769997,82.139999,83.010002,82.92202,32794800
3/27/2015,83.379997,83.949997,82.879997,83.300003,83.211716,18372600
3/30/2015,83.809998,84.339996,82.410004,83.199997,83.111816,24527700
3/31/2015,82.900002,83.5,82.209999,82.220001,82.132858,19734300
4/1/2015,82.5,82.720001,80.870003,81.669998,81.583435,22058200
4/2/2015,82.25,82.559998,81.440002,81.559998,81.473557,19664100
4/6/2015,80.800003,82.809998,80.800003,82.440002,82.352623,19062900
4/7/2015,82.650002,83.419998,82.220001,82.32,82.23275,17467000
4/8/2015,82.629997,83.099998,81.839996,82.279999,82.192795,18966700
4/9/2015,82.5,82.800003,81.709999,82.169998,82.082909,15927300
4/10/2015,82.209999,82.610001,81.910004,82.040001,81.953049,12529700
4/13/2015,81.93,83.940002,81.919998,83.010002,82.92202,26883100
4/14/2015,83.169998,83.690002,82.440002,83.519997,83.431473,19634200
4/15/2015,83.550003,83.660004,82.269997,82.709999,82.622337,22390900
4/16/2015,82.470001,83.07,82.150002,82.309998,82.222755,13769700
4/17/2015,81.480003,82.110001,80.370003,80.779999,80.694382,24215000
4/20/2015,81.540001,83.150002,81.239998,83.089996,83.00193,28796800
4/21/2015,84,84.489998,83.540001,83.620003,83.531372,27171900
4/22/2015,84.32,84.739998,83.650002,84.629997,84.540298,45548000
4/23/2015,84.099998,85.589996,82.410004,82.410004,82.322655,73728100
4/24/2015,82.769997,82.940002,81.480003,81.529999,81.443588,29660400
4/27/2015,81.870003,82.93,81.629997,81.910004,81.823189,25446000
4/28/2015,81.830002,81.900002,80.230003,80.68,80.59449,23775300
4/29/2015,80.010002,81.389999,79.519997,80.470001,80.384712,26430300
4/30/2015,80.010002,80.959999,78.32,78.769997,78.686508,28999000
5/1/2015,79.239998,79.760002,78.110001,78.989998,78.906281,24136400
5/4/2015,79.330002,79.690002,78.629997,78.809998,78.726471,14692000
5/5/2015,78.550003,78.800003,77.220001,77.559998,77.477791,22311300
5/6/2015,77.970001,78.809998,77.050003,78.099998,78.01722,28663000
5/7/2015,78,78.940002,77.559998,78.43,78.34687,19749400
5/8/2015,79.099998,79.230003,78.029999,78.510002,78.426788,19943600
5/11/2015,78.480003,79.029999,77.93,78.010002,77.927322,18874100
5/12/2015,77.870003,77.889999,76.790001,77.459999,77.377899,21285300
5/13/2015,77.720001,78.529999,77.650002,78.440002,78.356865,21512300
5/14/2015,78.940002,81.849998,78.669998,81.370003,81.28376,49438000
5/15/2015,81.410004,81.519997,80.18,80.419998,80.334763,27069900
5/18/2015,80.330002,81.379997,80.230003,80.879997,80.794273,21613700
5/19/2015,81.25,81.690002,80.550003,80.629997,80.54454,17955400
5/20/2015,80.470001,81.099998,79.459999,80.550003,80.46463,23056900
5/21/2015,80.190002,80.919998,80.080002,80.480003,80.394707,13402700
5/22/2015,80.349998,81.309998,80.25,80.540001,80.454636,19567900
5/26/2015,80.43,80.599998,79.080002,79.330002,79.245918,16321300
5/27/2015,79.599998,80.660004,79.43,80.550003,80.46463,14160900
5/28/2015,80.25,81.07,80,80.150002,80.065048,11982000
5/29/2015,79.949997,80.07,78.879997,79.190002,79.106071,16134600
6/1/2015,79.300003,80.379997,78.660004,80.290001,80.204903,18119000
6/2/2015,79.760002,81.349998,79.559998,80.440002,80.354744,18923300
6/3/2015,81.349998,82.529999,81.25,82.440002,82.352623,31775000
6/4/2015,82.139999,82.949997,81.510002,82.050003,81.963036,20863900
6/5/2015,81.870003,82.459999,81.510002,82.139999,82.05294,16143100
6/8/2015,81.82,82,80.129997,80.669998,80.584496,16915500
6/9/2015,80.599998,81.190002,79.32,80.669998,80.584496,16497500
6/10/2015,80.830002,82.599998,80.809998,82.160004,82.072922,21531200
6/11/2015,82.309998,82.900002,81.360001,81.830002,81.743271,18656800
6/12/2015,81.370003,82.089996,81.199997,81.529999,81.443588,11417900
6/15/2015,80.550003,80.93,80.07,80.709999,80.624458,18805100
6/16/2015,80.82,81.510002,80.449997,81.059998,80.974083,13693700
6/17/2015,81.760002,82.220001,81.339996,81.790001,81.703316,18350300
6/18/2015,81.639999,83.190002,81.57,82.910004,82.822128,26782600
6/19/2015,82.830002,82.980003,82.120003,82.510002,82.422554,23353200
6/22/2015,83.410004,84.970001,83.309998,84.739998,84.650185,29383100
6/23/2015,84.959999,87.970001,84.760002,87.879997,87.786858,50667900
6/24/2015,87.660004,89.25,87.449997,88.860001,88.765816,41370200
6/25/2015,89.260002,89.400002,87.839996,87.980003,87.886757,27302000
6/26/2015,88.120003,88.339996,86.830002,88.010002,87.916718,38214600
6/29/2015,86.610001,87.5,85.730003,85.800003,85.709068,35957900
6/30/2015,86.599998,86.699997,85.57,85.769997,85.679092,23016500
7/1/2015,86.769997,87.949997,86.489998,86.910004,86.817886,25260000
7/2/2015,87.400002,87.440002,86.339996,87.290001,87.197487,16908800
7/6/2015,86.489998,88.190002,86.389999,87.550003,87.457207,24635900
7/7/2015,87.800003,87.849998,85.230003,87.220001,87.127556,33059900
7/8/2015,86.290001,86.75,85.449997,85.650002,85.559219,24399300
7/9/2015,86.730003,87.599998,85.650002,85.879997,85.788971,23307400
7/10/2015,87.349998,88.220001,86.769997,87.949997,87.856781,23245900
7/13/2015,88.660004,90.220001,88.419998,90.099998,90.004501,29976700
7/14/2015,90.459999,90.800003,89.650002,89.68,89.584946,26627800
7/15/2015,90,90.989998,89.419998,89.760002,89.664864,30886600
7/16/2015,90.279999,90.860001,89.769997,90.849998,90.753708,21804100
7/17/2015,92.550003,95.389999,92.540001,94.970001,94.869347,54001600
7/20/2015,95.849998,98.599998,95.360001,97.910004,97.806229,54860500
7/21/2015,98.949997,99.239998,97.139999,98.389999,98.285713,39453300
7/22/2015,96.739998,97.580002,95.919998,97.040001,96.937149,28299500
7/23/2015,96.959999,97.449997,94.809998,95.440002,95.338844,29418800
7/24/2015,97.349998,97.760002,95.879997,96.949997,96.847244,33444900
7/27/2015,96.580002,96.610001,93.830002,94.169998,94.07019,38585400
7/28/2015,94.839996,95.559998,93.309998,95.290001,95.189003,35236000
7/29/2015,96.32,97.279999,94.739998,96.989998,96.887199,64648300
7/30/2015,94.910004,95.809998,91.800003,95.209999,95.109085,86211300
7/31/2015,94.949997,96.330002,93.949997,94.010002,93.910362,46509000
8/3/2015,93.529999,95.080002,92.800003,94.139999,94.040222,29343100
8/4/2015,93.790001,94.730003,93.330002,94.059998,93.960304,20136000
8/5/2015,95.25,97.089996,95.18,96.440002,96.337784,29813200
8/6/2015,97.18,98.739998,94.419998,95.120003,95.019188,42271300
8/7/2015,95.379997,95.400002,93.610001,94.300003,94.200058,23199100
8/10/2015,95.68,95.900002,93.629997,94.150002,94.050217,21624200
8/11/2015,93.730003,94.760002,92.900002,93.620003,93.520775,22491000
8/12/2015,92.699997,94.440002,91.190002,94.190002,94.090172,27050500
8/13/2015,94.050003,94.730003,93.349998,93.43,93.330978,17451800
8/14/2015,93.540001,94.720001,93.209999,94.419998,94.319923,15929700
8/17/2015,94.419998,94.459999,93.389999,93.93,93.830444,18313500
8/18/2015,94.080002,95.849998,94.040001,95.169998,95.06913,22278800
8/19/2015,94.629997,96.099998,94.160004,95.309998,95.208977,23251300
8/20/2015,93.540001,94.769997,90.459999,90.559998,90.464012,44598200
8/21/2015,87.519997,89.18,85.610001,86.059998,85.968781,62778700
8/24/2015,77.029999,82.089996,72,82.089996,82.002991,83710700
8/25/2015,86.949997,87.669998,83,83,82.912025,52021200
8/26/2015,85.949997,87.459999,83.260002,87.190002,87.097588,45124300
8/27/2015,89.099998,90.059998,87.190002,89.730003,89.634903,42431400
8/28/2015,89.879997,91.480003,89.790001,91.010002,90.913544,33215900
8/31/2015,90.599998,91.050003,88.889999,89.43,89.335213,32850700
9/1/2015,86.849998,89.389999,86.5,87.230003,87.13755,36097400
9/2/2015,88.809998,89.889999,87.629997,89.889999,89.794724,27190500
9/3/2015,89.760002,89.82,87.730003,88.150002,88.056572,27048200
9/4/2015,87.199997,88.389999,86.699997,88.260002,88.166458,27328700
9/8/2015,89.690002,90.239998,88.830002,89.529999,89.435104,27012500
9/9/2015,90.779999,91.980003,90.169998,90.440002,90.344147,32551100
9/10/2015,90.07,92.059998,89.629997,91.980003,91.882515,26437400
9/11/2015,91.68,92.080002,91.129997,92.050003,91.952438,21185000
9/14/2015,92.309998,92.620003,91.599998,92.309998,92.212158,20127900
9/15/2015,92.370003,93.25,91.790001,92.900002,92.801537,18859400
9/16/2015,92.900002,93.599998,92.629997,93.449997,93.350952,16321200
9/17/2015,93.370003,95.510002,92.900002,94.339996,94.240005,27841800
9/18/2015,93.199997,95.190002,93.050003,94.400002,94.29995,62300000
9/21/2015,94.620003,96.489998,94.519997,95.550003,95.44873,28790000
9/22/2015,93.769997,94.68,91.919998,92.959999,92.861473,36888900
9/23/2015,93.400002,94.32,92.800003,93.970001,93.870407,21701400
9/24/2015,93.059998,94.769997,92.239998,94.410004,94.309937,29106000
9/25/2015,95.790001,95.849998,92.059998,92.769997,92.671669,28961600
9/28/2015,92.080002,92.290001,88.18,89.209999,89.115448,41199900
9/29/2015,89.099998,90.059998,85.720001,86.669998,86.57814,42281800
9/30/2015,88.440002,90.019997,88.010002,89.900002,89.804718,36169100
10/1/2015,90.050003,90.949997,88.360001,90.949997,90.8536,29283700
10/2/2015,88.900002,92.199997,88.370003,92.07,91.972412,37881700
10/5/2015,92.940002,94.269997,92.660004,94.010002,93.910362,27292500
10/6/2015,94.080002,94.169998,92.339996,92.800003,92.701645,22172800
10/7/2015,93.110001,93.660004,91.370003,92.400002,92.302071,24129300
10/8/2015,91.889999,93.220001,90.470001,92.470001,92.371994,27290500
10/9/2015,92.900002,93.739998,92.239998,93.239998,93.141174,20012900
