Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue,Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
57,190.0934378,3.18E-16,188.5060095,5.60E-16,183,372.2840835,5.18E-15,361.2413445,8.74E-14
58,192.1514564,2.82E-16,190.5104803,5.06E-16,184,372.4489193,7.13E-15,361.3928848,1.19E-13
59,192.1669801,5.17E-16,190.5255934,9.24E-16,185,372.4611405,1.02E-14,361.4041149,1.67E-13
60,192.9513875,7.17E-16,191.2889109,1.29E-15,186,372.618797,1.40E-14,361.5489183,2.27E-13
61,193.7637936,9.79E-16,192.0791221,1.76E-15,187,379.3022721,3.58E-15,367.684615,6.92E-14
62,200.8646855,1.47E-16,198.9829381,2.85E-16,188,379.3026642,5.14E-15,367.6849749,9.77E-14
63,211.7464182,5.67E-18,209.5579436,1.24E-17,189,385.4997789,1.49E-15,373.3687986,3.32E-14
64,211.9618266,9.73E-18,209.7671869,2.12E-17,190,387.4915429,1.27E-15,375.1947262,2.96E-14
65,212.3444381,1.56E-17,210.1386817,3.40E-17,191,387.6025021,1.78E-15,375.2963988,4.09E-14
66,213.5695094,1.86E-17,211.3276278,4.08E-17,192,388.2537872,2.16E-15,375.8928923,4.97E-14
67,214.0612227,2.84E-17,211.804628,6.25E-17,193,393.2997675,8.39E-16,380.5121743,2.20E-14
68,214.0942325,5.07E-17,211.8366358,1.11E-16,194,393.3546167,1.19E-15,380.5623616,3.08E-14
69,214.2872724,8.50E-17,212.0237322,1.86E-16,195,393.3820588,1.69E-15,380.5874593,4.31E-14
70,214.3243452,1.49E-16,212.0596474,3.25E-16,196,395.0430382,1.58E-15,382.1058221,4.16E-14
71,214.9044145,2.17E-16,212.6213537,4.72E-16,197,398.9672073,8.23E-16,385.6913487,2.40E-14
72,215.3482884,3.28E-16,213.0509836,7.13E-16,198,399.09616,1.14E-15,385.8091173,3.28E-14
73,215.4319773,5.56E-16,213.1319506,1.21E-15,199,399.0990189,1.63E-15,385.811727,4.60E-14
74,215.5710445,9.22E-16,213.2664346,1.99E-15,200,399.5140371,2.09E-15,386.1903906,5.87E-14
75,215.6716222,1.54E-15,213.3636538,3.31E-15,201,400.368031,2.39E-15,386.9692064,6.78E-14
76,215.9565291,2.40E-15,213.6389239,5.15E-15,202,401.3944709,2.62E-15,387.9048424,7.54E-14
77,215.9565648,4.08E-15,213.6389583,8.72E-15,203,403.2355414,2.33E-15,389.5822445,6.98E-14
78,215.9997059,6.81E-15,213.6806027,1.45E-14,204,403.3990304,3.17E-15,389.7311286,9.38E-14
79,216.3657426,1.02E-14,214.0337821,2.16E-14,205,403.4192463,4.47E-15,389.7495298,1.30E-13
80,220.4221476,4.57E-15,217.9459438,1.02E-14,206,403.5776606,6.06E-15,389.8936552,1.74E-13
81,221.2453727,5.87E-15,218.7395385,1.32E-14,207,406.7311128,3.89E-15,392.7613002,1.21E-13
82,231.331544,3.67E-16,228.4583037,9.43E-16,208,411.4081199,1.70E-15,397.0123873,6.00E-14
83,231.3351878,6.22E-16,228.4618132,1.59E-15,209,411.4573075,2.37E-15,397.0570743,8.25E-14
84,232.513743,7.14E-16,229.5964154,1.84E-15,210,412.2115543,2.77E-15,397.7419801,9.70E-14
85,232.5139252,1.20E-15,229.5965907,3.08E-15,211,412.2962349,3.83E-15,397.8188389,1.32E-13
86,235.4375996,7.79E-16,232.4086937,2.07E-15,212,412.547502,5.06E-15,398.046788,1.73E-13
87,240.2103746,2.78E-16,236.9972637,7.87E-16,213,413.833022,5.16E-15,399.2124525,1.80E-13
88,244.2202125,1.27E-16,240.8506031,3.79E-16,214,415.0796872,5.32E-15,400.3423442,1.90E-13
89,245.8558424,1.25E-16,242.4216874,3.81E-16,215,419.470487,2.52E-15,404.3199595,1.01E-13
90,245.9584757,2.03E-16,242.520226,6.15E-16,216,419.4798277,3.53E-15,404.3284172,1.40E-13
91,246.0388377,3.30E-16,242.597347,9.95E-16,217,419.6089167,4.80E-15,404.4452467,1.87E-13
92,246.2143175,5.18E-16,242.7656737,1.55E-15,218,419.6953337,6.57E-15,404.5234192,2.52E-13
93,247.5271261,5.64E-16,244.0243987,1.71E-15,219,419.6954075,9.17E-15,404.5234859,3.46E-13
94,247.5507477,9.21E-16,244.0470369,2.78E-15,220,419.7106359,1.27E-14,404.5372482,4.72E-13
95,248.0667367,1.28E-15,244.5413213,3.87E-15,221,420.8250412,1.35E-14,405.5438859,5.09E-13
96,250.0793273,1.11E-15,246.4683812,3.44E-15,222,423.2021649,1.05E-14,407.6901007,4.22E-13
97,252.1174476,9.56E-16,248.4190019,3.04E-15,223,424.6760876,1.03E-14,409.0202105,4.22E-13
98,252.4181896,1.42E-15,248.7067022,4.49E-15,224,428.6336025,5.46E-15,412.5898684,2.51E-13
99,254.3782417,1.25E-15,250.5809064,4.05E-15,225,428.653734,7.56E-15,412.6080181,3.41E-13
100,254.6337999,1.86E-15,250.8251606,6.03E-15,226,428.8086814,1.01E-14,412.7476454,4.50E-13
101,256.6997795,1.58E-15,252.798861,5.27E-15,227,429.7926778,1.11E-14,413.633925,4.99E-13
102,262.1651258,4.69E-16,258.0177216,1.70E-15,228,430.0614893,1.43E-14,413.8759252,6.41E-13
103,269.4821587,7.72E-17,265.0015852,3.14E-16,229,431.0142029,1.58E-14,414.7332023,7.15E-13
104,270.4449613,9.31E-17,265.9201306,3.82E-16,230,431.3530439,2.01E-14,415.0379534,9.03E-13
105,270.6392433,1.43E-16,266.1053978,5.82E-16,231,432.3343257,2.19E-14,415.9200857,9.99E-13
106,275.092331,5.76E-17,270.349928,2.52E-16,232,432.6620144,2.79E-14,416.2145224,1.26E-12
107,276.6928416,5.68E-17,271.8747857,2.54E-16,233,436.617413,1.50E-14,419.766834,7.60E-13
108,276.7010936,9.18E-17,271.8826441,4.07E-16,234,439.4192909,1.06E-14,422.2819629,5.80E-13
109,277.4216024,1.19E-16,272.5684709,5.28E-16,235,441.4425426,9.06E-15,424.0972742,5.19E-13
110,278.7857632,1.25E-16,273.8663759,5.67E-16,236,442.993035,8.63E-15,425.4877417,5.11E-13
111,279.4126432,1.66E-16,274.4625371,7.52E-16,237,442.9943888,1.19E-14,425.4889552,6.90E-13
112,279.7938351,2.36E-16,274.8248844,1.07E-15,238,443.5578322,1.43E-14,425.9937576,8.30E-13
113,281.3951386,2.31E-16,276.346331,1.07E-15,239,443.7371083,1.88E-14,426.1542975,1.08E-12
114,282.3785357,2.73E-16,277.2802597,1.27E-15,240,444.4238404,2.20E-14,426.7689614,1.26E-12
115,282.4220375,4.27E-16,277.3215543,1.98E-15,241,446.0806761,2.04E-14,428.2512043,1.22E-12
116,282.7376033,6.13E-16,277.6209724,2.83E-15,242,448.6710719,1.52E-14,430.567508,9.73E-13
117,282.9539388,9.04E-16,277.826144,4.15E-15,243,448.9236174,1.97E-14,430.7932218,1.24E-12
118,283.4194064,1.23E-15,278.2673895,5.67E-15,244,449.3451218,2.44E-14,431.1697609,1.53E-12
119,286.1860552,8.48E-16,280.8888672,4.07E-15,245,450.1525719,2.76E-14,431.8907235,1.74E-12
120,286.8004553,1.10E-15,281.4707622,5.31E-15,246,450.3237005,3.61E-14,432.043448,2.25E-12
121,287.9838254,1.21E-15,282.5910124,5.92E-15,247,451.8955166,3.42E-14,433.4455407,2.21E-12
122,291.2098662,7.28E-16,285.6435801,3.75E-15,248,457.5019529,1.27E-14,438.4441673,9.76E-13
123,291.3851368,1.08E-15,285.8093499,5.51E-15,249,457.5064887,1.73E-14,438.4482094,1.30E-12
124,291.4301223,1.65E-15,285.8518774,8.36E-15,250,457.7224958,2.24E-14,438.6406112,1.67E-12
125,291.9784134,2.17E-15,286.3699721,1.10E-14,251,458.5911779,2.49E-14,439.4139869,1.88E-12
126,292.1029914,3.22E-15,286.487635,1.63E-14,252,459.321069,2.87E-14,440.0634824,2.17E-12
