Date,Forecast,Lower_CI,Upper_CI
2022-05-04,210.46532146913802,169.45184330276183,251.47879963551418
2022-05-05,210.67704806203577,170.09267369811116,251.26142242596035
2022-05-06,210.60368234086909,165.35858789905478,255.84877678268336
2022-05-09,210.81422651179705,165.2935845038258,256.3348685197683
2022-05-10,210.7430348329671,162.05585499007887,259.4302146758553
2022-05-11,210.95137570278266,161.5458784444446,260.35687296112064
2022-05-12,210.88237221649788,159.14884859854237,262.6158958344534
2022-05-13,211.0885419249052,158.40789608304198,263.76918776676837
2022-05-16,211.0216926078548,156.50907068079664,265.53431453491294
2022-05-17,211.225725010543,155.6657143950069,266.7857356260791
2022-05-18,211.1609962675093,154.07497731128404,268.24701522373454
2022-05-19,211.3629246969099,153.20026915137407,269.52558024244564
2022-05-20,211.3002834563917,151.8086405454391,270.7919263673443
2022-05-23,211.50014072510893,150.93959769661973,272.06068375359814
2022-05-24,211.43955443137256,149.68298616546525,273.1961226972798
2022-05-25,211.63737284028036,148.8374890023949,274.4372566781658
2022-05-26,211.57880944531644,147.67720396448368,275.4804149261492
2022-05-27,211.77462079153915,146.86273945293922,276.68650213013905
2022-05-30,211.7180487471444,145.7747214844754,277.66137600981335
2022-05-31,211.91188433191292,144.99333282049594,278.8304358433299
2022-06-01,211.85727258189544,143.9620986095348,279.75244655425604
2022-06-02,212.049163218281,143.2131200787106,280.88520635785136
2022-06-03,211.996481190787,142.22831207438406,281.7646503071899
2022-06-06,212.18645721131426,141.5098462119749,282.86306821065364
2022-06-07,212.13567481127458,140.5642413564037,283.70710826614544
2022-06-08,212.32376607541605,139.8739350406163,284.77359711021575
2022-06-09,212.27485367711046,138.96227965339253,285.58742770082836
2022-06-10,212.46108957866397,138.29771571403214,286.6244634432958
2022-06-13,212.41401801840144,137.4160327812668,287.41200325553604
2022-06-14,212.59842749275265,136.77491449360903,288.42194049189624
2022-06-15,212.5531680616657,135.92008388084545,289.18625224248586
2022-06-16,212.7357795929372,135.300310475726,290.1712487101484
2022-06-17,212.69230402988873,134.46980867674458,290.91479938303286
2022-06-20,212.8731456579778,133.86949546110677,291.8767958548488
2022-06-21,212.8314261425784,133.0612299081378,292.601622377019
2022-06-22,213.01052547008487,132.47870181347153,293.5423491266982
2022-06-23,212.97053461581928,131.69090218139405,294.2501670502445
2022-06-24,213.14791881486548,131.12467591053382,295.17116171919713
2022-06-27,213.10962966232594,130.35582046527034,295.86343885938146
2022-06-28,213.2853254812703,129.80458297590758,296.76606798663295
2022-06-29,213.24871149149564,129.05334698025095,297.4440760027403
2022-06-30,213.42274526154134,128.5159340537883,298.32955646929435
2022-07-01,213.3877803094599,127.78115242993368,298.9944081889861
2022-07-04,213.56017795116074,127.25652897475737,299.86382692756405
2022-07-05,213.52683631913547,126.53716845262724,300.51650418564367
2022-07-06,213.6976233488002,126.02441111835631,301.37083557924404
2022-07-07,213.6658797202746,125.31954888960945,302.01221055093976
2022-07-08,213.83508125627125,124.81783104677926,302.8523314657632
2022-07-11,213.80491070951425,124.12663801777137,303.4831834012571
2022-07-12,213.97255147847633,123.63521692466153,304.3098860322911
2022-07-13,213.9439294804247,122.95694431578652,304.9309146450629
2022-07-14,214.11003382336045,122.47515020915249,305.7449174375684
2022-07-15,214.08293622355748,121.80911865448381,306.3567537926311
2022-07-18,214.2475281018639,121.33634548807326,307.15871071565454
2022-07-19,214.22193112649225,120.6819360474575,307.761926205527
2022-07-20,214.38503412787534,120.21763362163922,308.5524346341115
2022-07-21,214.36091437388333,119.57428028548246,309.1475484622842
2022-07-22,214.5225517181861,119.11794754281381,309.92715589355834
2022-07-25,214.49988614750526,118.48513092207202,310.5146413729385
2022-07-26,214.66008069244458,118.03631021729696,311.2838511675922
2022-07-27,214.63884662629766,117.4135521881784,311.8641410644169
2022-07-28,214.79762087311198,116.9718243725478,312.62341737367615
2022-07-29,214.77779598640953,116.35868349961851,313.19690847320055
2022-08-01,214.9351720854183,115.92366368689015,313.94668048394635
2022-08-02,214.9167344012428,115.31973128735336,314.5137375151322
2022-08-03,215.07273415731913,114.89106519204199,315.2544031225962
2022-08-04,215.0556620414949,114.29596193278171,315.8153621502081
2022-08-05,215.2103069194532,113.87332269047477,316.5472911484316
2022-08-08,215.19457907520135,113.28669563113833,317.10246251926435
2022-08-09,215.3478902051005,112.86978102647922,317.82599938372175
2022-08-10,215.33348566777693,112.29130103847254,318.3756702970813
2022-08-11,215.48548385014115,111.87983107929571,319.09113662098656
2022-08-12,215.47238198205676,111.30919058346583,319.63557338064766
2022-08-15,215.62308769301484,110.90290537005804,320.3432700159716
2022-08-16,215.61126817833645,110.3398163459919,320.88272001068094
2022-08-17,215.76070157468078,109.93847419300248,321.58292895635907
2022-08-18,215.7501444144117,109.3826664209517,322.1176224078717
2022-08-19,215.89832533857862,108.98604219645082,322.81060848070643
2022-08-22,215.88901084561726,108.43726169938479,323.34075999184967
2022-08-23,216.0359588305895,108.0451453512788,324.02677230990014
2022-08-24,216.02786762486542,107.50315300982845,324.55258223990234
2022-08-25,216.17360189899827,107.11534825453064,325.2318555434659
2022-08-26,216.16671490268365,106.57991857187473,325.75351123349253
2022-08-29,216.31125439445583,106.19624172399674,326.4262670649149
2022-08-30,216.305552827252,105.66716172126768,326.9439439332363
2022-08-31,216.44891616994224,105.2874406462945,327.61039169359
2022-09-01,216.44438154443938,104.7645088719907,328.12425421688806
2022-09-02,216.58658708073042,104.3885820465623,328.78459211489854
2022-09-05,216.5832011978399,103.87160768587074,329.2947947098091
2022-09-06,216.72426698435035,103.49932335251012,329.94921061619056
2022-09-07,216.72201192880826,102.98812542445911,330.45589843315736
2022-09-08,216.86195574055395,102.61934082944532,331.1045706516626
2022-09-09,216.8608138764946,102.11374746149826,331.6078802914909
2022-09-12,216.99965321128042,101.74832816614412,332.2509782564167
2022-09-13,216.999607177879,101.2481759372672,332.7510384184908
2022-09-14,217.13735926062202,100.88599519418132,333.3887233270627
2022-09-15,217.1383919678052,100.39112853862068,333.8856553969897
2022-09-16,217.27507375479058,100.03206672564912,334.518080783932
2022-09-19,217.277168379014,99.54233739067345,335.0119993673545
2022-09-20,217.41279656208448,99.18628149616687,335.6393116280021
2022-09-21,217.4159365421761,98.70154804789885,336.13032503645337
2022-09-22,217.550527552856,98.34839120176056,336.75266390395143
2022-09-23,217.5546965859242,97.86851857396346,337.24087459788495
2022-09-26,217.68826659947942,97.51815961962751,337.8583735793313
2022-09-27,217.693448636885,97.04301870094834,338.34387857282167
2022-09-28,217.82601357631927,96.69536180403111,338.9566653486074
2022-09-29,217.83219281971031,96.2248290597493,339.4395565796713
2022-09-30,217.9637683596996,95.87978334963209,340.04775336976707
2022-10-03,217.97092925710803,95.41374047443232,340.52811803978375
2022-10-04,218.10153082787315,95.07121971547326,341.13184194027303
2022-10-05,218.10965806987227,94.60955331417125,341.6097628255733
2022-10-06,218.2393008609914,94.26947560362956,342.2091261183532
2022-10-07,218.24837937691328,93.81207689713099,342.68468185669553
2022-10-10,218.37707834107493,93.47436438721923,343.27979229493064
2022-10-11,218.38709329528695,93.02112894130076,343.7530576492731
2022-10-12,218.5148631519843,92.68570758306974,344.3440187208988
2022-10-13,218.52579994022352,92.2365350578384,344.81506482260863
2022-10-14,218.65265517939127,91.90333436485398,345.40197599392854
2022-10-17,218.6644994251562,91.45812828297578,345.8708705673366
2022-10-18,218.79045431075068,91.12708111296648,346.45382750853486
2022-10-19,218.80319186174913,90.6857486449602,346.92063507853806
2022-10-20,218.92826043527253,90.35679099781001,347.49972987273503
2022-10-21,218.94187735992497,89.91924276288208,347.96451195696784
2022-10-24,219.06607344389468,89.59231359351264,348.5398332942767
2022-10-25,219.08055602789213,89.158463474568,349.00264858121625
2022-10-26,219.20389322925578,88.8335045194051,349.57428193910647
2022-10-27,219.21922797217138,88.40326949100805,350.0351864533347
2022-10-28,219.34171968566898,88.08022510686018,350.60321426447774
2022-10-31,219.3578932976223,87.65352507504345,351.0622615202011
2022-11-01,219.47955270909557,87.33234208933698,351.62676332885417
2022-11-02,219.49655210746909,86.90909974226619,352.08400447267195
2022-11-03,219.61739219711941,86.58972731368635,352.6450570805524
2022-11-04,219.63520450332615,86.1698679822843,353.100541024368
2022-11-07,219.75523804892168,85.85225747096337,353.65821862687994
2022-11-08,219.77385058522313,85.43570899868466,354.11199217176153
2022-11-09,219.8930901652557,85.11981384516068,354.6663664853507
2022-11-10,219.91249045162965,84.70650646618422,355.11847443707506
2022-11-11,220.03094844842275,84.39228207842747,355.669614818418
2022-11-14,220.05112419947966,83.98214830360268,356.1201000953566
2022-11-15,220.16881280224771,83.6695519514717,356.6680736530237
2022-11-16,220.18975192419538,83.26252646141563,357.1169773869751
2022-11-17,220.30668313205544,82.95151717796386,357.66184908614696
2022-11-18,220.32837371971084,82.54753672276118,358.10921071666047
2022-11-21,220.4445593446472,82.23807521186698,358.6510434774274
2022-11-22,220.46698967849514,81.83707851687413,359.0969008401161
2022-11-23,220.58244134827774,81.52912706671444,359.635755629841
2022-11-24,220.60559989157522,81.13105474401269,360.08014503913773
2022-11-25,220.7203290526327,80.82457714594307,360.61608095932235
2022-11-28,220.74420444855852,80.4293716110259,361.0590372860911
2022-11-29,220.85822236880622,80.12433308346652,361.59211165414587
2022-11-30,220.8828034376549,79.73193847678147,362.0336683985283
2022-12-01,220.99612120927895,79.42830559374448,362.5639368248134
2022-12-02,221.02139694569863,79.03866770674253,363.0041261846547
2022-12-05,221.13402548789642,78.73640833066571,363.5316426451271
2022-12-06,221.15998505816964,78.34947453604036,363.9704955802989
2022-12-07,221.27193511984785,78.04855775462109,364.49531248507463
2022-12-08,221.29856785921484,77.66427694044467,364.932858777985
2022-12-09,221.40985002164504,77.36467300719254,365.4550270360975
2022-12-12,221.43714543166874,76.98299551468276,365.8912953486547
2022-12-13,221.5477701111019,76.68467579293292,366.4108644292708
2022-12-14,221.57571785707412,76.30555335760272,366.84588235654553
2022-12-15,221.6856953073141,76.00849026775201,367.36290034687613
2022-12-16,221.71428521570198,75.6318759637161,367.79669446768787
2022-12-19,221.823625530639,75.3360429334638,368.31120812781415
2022-12-20,221.85284758657147,74.96189112069354,368.7438040524494
2022-12-21,221.96156070267605,74.66726253808488,369.2558588672672
2022-12-22,221.99140504746936,74.29552881241831,369.68728128252036
2022-12-23,222.0995007462474,74.0020799815053,370.19692151098945
2022-12-26,222.12995767496932,73.63272112723506,370.62719422270357
2022-12-27,222.23744558537882,73.34042822618277,371.13446294457486
2022-12-28,222.26850554445082,72.9734021710571,371.5636089178445
2022-12-29,222.37539514528095,72.68224221253712,372.0685480780248
2022-12-30,222.40704873011774,72.31750798502253,372.4965894752129
2023-01-02,222.51334935233086,72.02745877874685,372.9992399259148
2023-01-03,222.54558730501674,71.66497646741131,373.4261981426221
2023-01-04,222.65130813405375,71.37601658467082,373.9265996834367
2023-01-05,222.6841213410552,71.01574729955733,374.35249538255306
2023-01-06,222.78927141910503,70.72785603963928,374.8506867985708
2023-01-09,222.8226509090191,70.3697618755088,375.27553994252935
2023-01-10,222.9272391372529,70.08291923387657,375.77155904062926
2023-01-11,222.96117607859054,69.72696323520827,376.1953889219728
2023-01-12,223.0652112193609,69.44114987333484,376.6892725653869
2023-01-13,223.0996969183648,69.08729600097891,377.11209783575066
2023-01-16,223.20318759737057,68.80249321773383,377.6038819770073
2023-01-17,223.2382134958674,68.45070631712022,378.0257206746145
2023-01-18,223.34116820428508,68.16689602161647,378.5154403869536
2023-01-19,223.37672587757083,67.81714179242945,378.9363099627122
2023-01-20,223.47915297415233,67.53430647824267,379.4239994700619
2023-01-23,223.5152341289108,67.18655144547648,379.8439168123451
2023-01-24,223.6171418420488,66.90467416615647,380.3296095179411
2023-01-25,223.6537383143026,66.55888565247439,380.7485909761308
2023-01-26,223.75513474406355,66.2779499982725,381.2323194898546
2023-01-27,223.7922384971569,65.93409609759584,381.65038089671793
2023-01-30,223.8931316172823,65.65408617333809,382.13217706122646
2023-01-31,223.9307347398954,65.31213572559685,382.5493337541939
2023-02-01,224.03113239977196,65.0330361296374,383.0292286699065
2023-02-02,224.06922710396637,64.69295869661906,383.44549551131365
2023-02-03,224.16913703056534,64.4147545008122,383.9235195603185
2023-02-06,224.20771564985978,64.07652034304891,384.33891095667065
2023-02-07,224.3071454496461,63.79919707368227,384.8150938256099
2023-02-08,224.34620043712215,63.462777128320376,385.22962374592385
2023-02-09,224.44515759793376,63.186320747956174,385.7039944479113
2023-02-10,224.4846815243713,62.851686607556324,386.11767644118623
2023-02-13,224.58317341726934,62.576083497729975,386.5902633368087
2023-02-14,224.62315896931102,62.24320738994862,387.0031105486734
2023-02-15,224.72119285040088,61.96844433467778,387.47394136612394
2023-02-16,224.7616328287451,61.63729910278426,387.88596655470593
2023-02-17,224.85921584096928,61.36336327284431,388.3550684090942
2023-02-20,224.9001031585914,61.033922357030264,388.7662839601525
2023-02-21,224.99724233349437,60.7608012949554,389.2336833720333
2023-02-22,225.0385700138958,60.43303871439666,389.6441013133949
2023-02-23,225.1352722733612,60.16072032016687,390.10982422655553
2023-02-24,225.1770334488456,59.834610655799246,390.51945624189193
2023-02-27,225.27330560680664,59.563083173178,390.9835280404352
2023-02-28,225.31549351678316,59.238601551151675,391.3923854824146
2023-03-01,225.41134228090604,58.96785355463922,391.85483100717283
2023-03-02,225.45395027021883,58.644975630418045,392.26292491001954
2023-03-03,225.54938224356,58.37499601278856,392.72376847433145
2023-03-06,225.592403760844,58.053697955862894,393.1311095658251
2023-03-07,225.68742544348174,57.78447591625586,393.5903749707076
2023-03-08,225.7308540395441,57.46473439543893,393.9969736836493
2023-03-09,225.82547183018437,57.19625942797528,394.45468423239345
2023-03-10,225.86930115641076,56.87805159725515,394.8605507155664
