Date,Forecast,Lower_CI,Upper_CI
2022-06-02,280.39607610602224,244.50441589346246,316.287736318582
2022-06-03,280.79107187232546,244.43953688795608,317.14260685669484
2022-06-06,280.65224335041773,243.8632591718114,317.4412275290241
2022-06-07,281.03264932799453,243.80197187904776,318.2633267769413
2022-06-08,280.90801184574957,243.25482109812793,318.5612025933712
2022-06-09,281.27461463463817,243.19566830419268,319.35356096508366
2022-06-10,281.16340309034337,242.6754534576445,319.65135272304224
2022-06-13,281.51694688149513,242.617390236012,320.41650352697826
2022-06-14,281.41843742345486,242.12214125113428,320.71473359577544
2022-06-15,281.75962628519545,242.06441289483135,321.4548396755595
2022-06-16,281.67313408776073,241.59235750397056,321.7539106715509
2022-06-17,282.0026341289784,241.53441785571042,322.4708504022464
2022-06-20,281.9275112884797,241.08395845925682,322.7710641177026
2022-06-21,282.2459527051864,241.0254140463923,323.46649136398054
2022-06-22,282.18158624930663,240.59510624765244,323.7680662509608
2022-06-23,282.4895652608602,240.53567721283113,324.44345330888933
2022-06-24,282.43537526533095,240.12421069727284,324.746539833389
2022-06-27,282.7334559462666,240.0637028790505,325.4032090134827
2022-06-28,282.6888937531016,239.66988476734764,325.7079027388555
2022-06-29,282.9776097662014,239.60816933659152,326.3470501958113
2022-06-30,282.9421562979931,239.23090987298045,326.65340272300574
2022-07-01,283.2220125339185,239.16790819823035,327.2761168696066
2022-07-04,283.19517669901825,238.80620852220747,327.58414487582905
2022-07-05,283.46665082754197,238.74188073044354,328.19142092464045
2022-07-06,283.4479680112238,238.39482244886693,328.50111357358065
2022-07-07,283.7115119488284,238.32915865172333,329.09386524593344
2022-07-08,283.70054258580114,237.9958949384925,329.40519023310975
2022-07-11,283.95658388415296,237.92890841852886,329.9842593497771
2022-07-12,283.9529121080345,237.60865639712765,330.29716781894143
2022-07-13,284.20185526759855,237.54037826139066,330.8633322738064
2022-07-14,284.2050876332027,237.23241245939008,331.1777628070153
2022-07-15,284.44731534603477,237.16288740921829,331.73174328285126
2022-07-18,284.45707962054536,236.86653410718162,332.0476251339091
2022-07-19,284.6929539460801,236.7958170693841,332.59009082277606
2022-07-20,284.70889796539853,236.51044939673966,332.9073465340574
2022-07-21,284.938761442845,236.43860282777553,333.4389200579145
2022-07-22,284.9605520295968,236.163636484178,333.7574675750156
2022-07-25,285.1847287303604,236.09072820579658,334.27872925492426
2022-07-26,285.2120506702368,235.8256177082509,334.59848363222267
2022-07-27,285.4308471936002,235.75171916664084,335.10997522055953
2022-07-28,285.46340226689006,235.49595454058837,335.43084999319177
2022-07-29,285.6771086820124,235.42113940559653,335.9330779584282
2022-08-01,285.7146147473482,235.17424325279256,336.25498624190385
2022-08-02,285.9235054844775,235.098586291958,336.74842467699705
2022-08-03,285.96569561198066,234.86011117984032,337.07128004412107
2022-08-04,286.17003030561636,234.78368735567895,337.5563732555538
2022-08-05,286.21665195677866,234.55321348254017,337.88009043101715
2022-08-08,286.4166762433761,234.47609723197073,338.3572552547815
2022-08-09,286.4674904951572,234.253230330028,338.6817506602864
2022-08-10,286.663436767824,234.17549499290348,339.15137854274457
2022-08-11,286.71821757858135,233.959864437668,339.4765707194947
2022-08-12,286.9103057010849,233.88158180768957,339.93902959448025
2022-08-15,286.96883921608077,233.6728389071657,340.26483952499586
2022-08-16,287.1572771983602,233.59407888343225,340.72047551328814
2022-08-17,287.2193610927115,233.39189532485614,341.04682686056685
2022-08-18,287.4043457299703,233.3127256462632,341.49596581367746
2022-08-19,287.46978858702323,233.11679208151605,341.82278509253047
2022-08-22,287.651506064365,233.03727812939135,342.26573399933864
2022-08-23,287.72012678758426,232.84730288303595,342.5929506921326
2022-08-24,287.89875325205014,232.7675075399628,343.02999896413746
2022-08-25,287.97038050861556,232.5832154261765,343.35754559105465
2022-08-26,288.1460826103808,232.50319898103416,343.7889662397274
2022-08-29,288.2205543047823,232.32433021764322,344.1167783919214
2022-08-30,288.39348970917393,232.24415030859203,344.54282910975587
2022-08-31,288.4706524851873,232.0704595180191,344.8708454523555
2022-09-01,288.64097035709744,231.99017110655134,345.2917696076436
2022-09-02,288.72067912661083,231.82142639483718,345.61993185838446
2022-09-05,288.8885205887924,231.7410817651594,346.0359594124254
2022-09-06,288.9706380860357,231.577063871355,346.3642123007165
2022-09-07,289.1361366526899,231.49671265031773,346.7755606550621
2022-09-08,289.2205330124978,231.3372141595029,347.1038518654927
2022-09-09,289.3838149994848,231.2569033530795,347.5107266458901
2022-09-12,289.4703673582975,231.10172796708,347.83900674951497
2022-09-13,289.63155227123065,231.02150201005074,348.2416025324106
2022-09-14,289.7201443896061,230.87046387062165,348.5698249085906
2022-09-15,289.87934529102256,230.7903646866672,348.9683258953779
2022-09-16,289.96986719650135,230.64328774650875,349.29644664649396
2022-09-19,290.127191053237,230.56335481637356,349.69102729010046
2022-09-20,290.2195387024612,230.42007225385763,350.0190051510648
2022-09-21,290.37508671429663,230.3403426896267,350.40983073896655
2022-09-22,290.4691616733459,230.20069636355873,350.7376269831331
2022-09-23,290.623029583934,230.12120498741587,351.12485418045213
2022-09-26,290.71873872589623,229.98504492854053,351.45243252325196
2022-09-27,290.8710171169259,229.90582435464506,351.8362098792067
2022-09-28,290.96827233577244,229.7730082909414,352.1635363806035
2022-09-29,291.1190469052733,229.6940890092914,352.54400480125526
2022-09-30,291.21776484516135,229.564481922397,352.87104776792575
2022-10-03,291.36711667080317,229.48589238373822,353.24834095786815
2022-10-04,291.467218469972,229.35936609409936,353.57507084584466
2022-10-05,291.6152242581688,229.28113279510427,353.9493157212333
2022-10-06,291.71663530664404,229.15756557367683,354.27570503961124
2022-10-07,291.8633676282277,229.07971314175427,354.64702211470114
2022-10-10,291.96601733858864,228.9589893462805,354.97304533089675
2022-10-11,292.1115448517766,228.88154062349537,355.34154908005786
2022-10-12,292.2153664422826,228.76355035756058,355.66718252700457
2022-10-13,292.35975410362414,228.68652648323976,356.03298172400855
2022-10-14,292.4646843930335,228.57116527647023,356.35820350959676
2022-10-17,292.60799365698307,228.4945857681559,356.72140154581024
2022-10-18,292.7139728704344,228.38175427606137,357.04619146480746
2022-10-19,292.85626187816496,228.30563710854346,357.40688664778645
2022-10-20,292.9632334635239,228.19524083063365,357.7312260964142
2022-10-21,293.1045572215606,228.11960251285203,358.0895119302691
2022-10-24,293.21246767566856,228.0115515277703,358.41338382356685
2022-10-25,293.3528782248915,227.9364071774294,358.7693492723537
2022-10-26,293.4616769291818,227.83061589394816,359.09273796441545
2022-10-27,293.60122350471715,227.75597930972745,359.4464676997069
2022-10-28,293.7108625696938,227.6523662325423,359.7693589068453
2022-10-31,293.8495917521842,227.57824996382303,360.12093354054537
2022-11-01,293.9600258702859,227.4767374731654,360.44331426740644
2022-11-02,294.0979817290057,227.40315288722428,360.79281057078714
2022-11-03,294.2091680354021,227.3036670313877,361.1146690394165
2022-11-04,294.34639226365596,227.2306243780311,361.4621601492808
2022-11-07,294.45829020454926,227.13309467797492,361.7834857311236
2022-11-08,294.5948222477715,227.06060315161176,362.1290413439313
2022-11-09,294.7073934557985,226.96496241686756,362.4498244947295
2022-11-10,294.8432706327456,226.89303021603223,362.7935110494589
2022-11-11,294.9564788090974,226.79921437119577,363.11374324699904
2022-11-14,295.09173642650654,226.72784875555024,363.4556240974629
2022-11-15,295.20554722940363,226.63579667669262,363.77529778211465
2022-11-16,295.3402186904698,226.56500402154592,364.11543335939365
2022-11-17,295.45459962964975,226.47465738192554,364.434541877374
2022-11-18,295.5887165366538,226.40444323031986,364.7729898429878
2022-11-21,295.703636873548,226.31574635482005,365.09152739227596
2022-11-22,295.8372291249522,226.24611546723926,365.4283427826652
2022-11-23,295.9526597782442,226.1590151949967,365.7463043614917
2022-11-24,296.0857556605523,226.0899715967591,366.08153972434553
2022-11-25,296.20166911682804,226.00441715148375,366.3989210821723
2022-11-28,296.33429539149347,225.93596417788643,366.7326266051005
2022-11-29,296.4506656207087,225.85190704540813,367.04942419600934
2022-11-30,296.5828476063564,225.7840473846913,367.38164782802147
2022-12-01,296.6996499818618,225.70144119729972,367.6978587664239
2022-12-02,296.8314116320777,225.63417693150453,368.0286463326508
2022-12-05,296.9486228549555,225.55297735867683,368.3442683512342
2022-12-06,297.0799868318818,225.48631000246942,368.67366366129414
2022-12-07,297.1975848593618,225.4064746476068,368.9886950711168
2022-12-08,297.3285726033245,225.3404051851434,369.3167400215056
2022-12-09,297.4465365810599,225.2618934879638,369.631179674156
2022-12-12,297.57716837644193,225.19642240787084,369.957914345013
2022-12-13,297.69547857443587,225.11919555212455,370.2717615967472
2022-12-14,297.8257736119996,225.0543228806697,370.59722434332946
2022-12-15,297.94441136398666,224.97834370686957,370.91047902110375
2022-12-16,298.0743877998355,224.91406903939517,371.23470656027587
2022-12-19,298.1933354459312,224.83930196226953,371.5473689295929
2022-12-20,298.3230104572927,224.77562449296252,371.8703964216229
2022-12-21,298.4422512897351,224.7020354233593,372.182467156111
2022-12-22,298.57164112773654,224.63895397342844,372.50432828204464
2022-12-23,298.69115933955294,224.56651024441433,372.8158084346916
2022-12-26,298.8202793791514,224.50402328874424,373.1365354695585
2022-12-27,298.9400600155929,224.43269358566,373.4474264455258
2022-12-28,299.0689248028135,224.3707992780102,373.76705032761686
2022-12-29,299.188953715408,224.3005535722567,374.07735385855926
2022-12-30,299.31757701203543,224.23924976907185,374.395904254999
2023-01-02,299.43784081511734,224.17005925541545,374.70562237481926
2023-01-03,299.5662356409776,224.10934353831087,375.02312774364435
2023-01-04,299.68672167056195,224.0411805755102,375.3322627656137
2023-01-05,299.8149003435245,223.98105027249454,375.6487504145545
2023-01-06,299.9355966183977,223.91388832706156,375.95730490973386
2023-01-09,300.0635707922213,223.85434053255747,376.2728010518851
2023-01-10,300.18446597712983,223.7881541254776,376.58077782878206
2023-01-11,300.3122466772675,223.72918571919786,376.8953076353372
2023-01-12,300.4333300480917,223.6639503754449,377.2027097207385
2023-01-13,300.56092770556563,223.60555804017935,377.5162973709519
2023-01-16,300.6821891163704,223.54125024086875,377.82312799187207
2023-01-17,300.80961359982007,223.48343047923683,378.13579672040333
2023-01-18,300.9310434516827,223.42002761627222,378.4420592870932
2023-01-19,301.0583040976857,223.3627767664923,378.75383142887915
2023-01-20,301.1798933092037,223.30025709956738,379.05952951884
2023-01-23,301.3069989509614,223.24357135029157,379.37042655163117
2023-01-24,301.4287389303509,223.18191396611812,379.6755638945837
2023-01-25,301.55569792482777,223.12578937038205,379.9856064792735
2023-01-26,301.6775805435261,223.06497414402148,380.29018694303073
2023-01-27,301.8044007971256,223.00940663235198,380.5993949618992
2023-01-30,301.9264183648167,222.9494141905363,380.9034225390971
2023-01-31,302.0531073576731,222.89439958326275,381.2118151320835
2023-02-01,302.17525259866,222.83521126959607,381.5152939277239
2023-02-02,302.3018174076206,222.78074528840583,381.8228895268354
2023-02-03,302.42408343847114,222.72234313034437,382.1258237465979
2023-02-06,302.550530758839,222.66842140912215,382.43264010855586
2023-02-07,302.6729110672374,222.61078808663663,382.7350340478382
2023-02-08,302.79924723334216,222.5574061816262,383.04108828505815
2023-02-09,302.9217356580805,222.5005249974557,383.3429463187053
2023-02-10,303.04796666274007,222.44767839677974,383.6482549287004
2023-02-13,303.17055737478813,222.39153324819108,383.9495815013851
2023-02-14,303.29668888772113,222.33921738076378,384.2541603946785
2023-02-15,303.4193763723177,222.2837927327363,384.5549600118991
2023-02-16,303.5454137575632,222.2320029766017,384.8588245385247
2023-02-17,303.6681927972722,222.1772838363604,385.15910175818397
2023-02-20,303.7941411296701,222.12601552648755,385.46226673285264
2023-02-21,303.9170067883505,222.07198741931296,385.762026157388
2023-02-22,304.04287086913365,222.021235854878,386.0645058833893
2023-02-23,304.1658184767736,221.96788480112468,386.36375215242253
2023-02-24,304.2916028483193,221.917645252308,386.6655604443306
2023-02-27,304.4146279866879,221.8649577455674,386.9642982278084
2023-02-28,304.5403369464736,221.8152254598928,387.2654484330544
2023-03-01,304.6634354355464,221.76318844624052,387.56368242485223
2023-03-02,304.7890730493536,221.71395865448198,387.8641874442252
2023-03-03,304.9122409344697,221.66255951275105,388.16192235618837
2023-03-06,305.0378110488757,221.61382743443193,388.4617946633195
2023-03-07,305.1610445885875,221.56305395745852,388.7590352197165
2023-03-08,305.2865508427835,221.51481480596536,389.0582868796017
2023-03-09,305.4098464973614,221.46465518275647,389.3550378119663
2023-03-10,305.5352923343338,221.41690417009002,389.65368049857756
2023-03-13,305.6586467548906,221.36734696886361,389.9499465409175
2023-03-14,305.78403543199914,221.3200793100482,390.2479915539501
2023-03-15,305.907445450201,221.27111346210089,390.5437774383011
2023-03-16,306.0327800491867,221.2243243792704,390.8412357191031
2023-03-17,306.15624266751865,221.17593916362955,391.13654617140776
2023-03-20,306.2815261039724,221.12962388981094,391.43342831813385
