,Date,Forecast,Lower_CI,Upper_CI
1888,2022-07-05,207.56779572086535,148.0634762628287,267.07211517890204
1889,2022-07-06,207.6362267115804,147.45912092145477,267.81333250170604
1890,2022-07-07,207.70465770229546,146.8615201134133,268.54779529117764
1891,2022-07-08,207.77308869301052,146.2704543968174,269.27572298920364
1892,2022-07-11,207.84151968372558,145.68571575145367,269.9973236159975
1893,2022-07-12,207.90995067444064,145.10710676587954,270.7127945830017
1894,2022-07-13,207.9783816651557,144.5344398973586,271.4223234329528
1895,2022-07-14,208.04681265587075,143.96753679681615,272.12608851492536
1896,2022-07-15,208.1152436465858,143.4062276919691,272.8242596012025
1897,2022-07-18,208.18367463730087,142.85035082262067,273.51699845198107
1898,2022-07-19,208.25210562801593,142.29975192282922,274.20445933320264
1899,2022-07-20,208.32053661873098,141.75428374528462,274.88678949217734
1900,2022-07-21,208.38896760944604,141.2138056237636,275.5641295951285
1901,2022-07-22,208.4573986001611,140.6781830700043,276.2366141303179
1902,2022-07-25,208.52582959087616,140.14728740175008,276.90437178000224
1903,2022-07-26,208.59426058159121,139.62099539906714,277.5675257641153
1904,2022-07-27,208.66269157230627,139.0991889863546,278.22619415825795
1905,2022-07-28,208.73112256302133,138.58175493773894,278.8804901883037
1906,2022-07-29,208.7995535537364,138.0685846037856,279.53052250368717
1907,2022-08-01,208.86798454445145,137.55957365767364,280.17639543122925
1908,2022-08-02,208.9364155351665,137.05462185916616,280.81820921116685
1909,2022-08-03,209.00484652588156,136.55363283487614,281.45606021688695
1910,2022-08-04,209.07327751659662,136.05651387347388,282.09004115971936
1911,2022-08-05,209.14170850731168,135.5631757346136,282.72024128000976
1912,2022-08-08,209.21013949802673,135.07353247047263,283.34674652558084
1913,2022-08-09,209.2785704887418,134.58750125890177,283.9696397185818
1914,2022-08-10,209.34700147945685,134.10500224727605,284.58900071163765
1915,2022-08-11,209.4154324701719,133.62595840622043,285.2049065341234
1916,2022-08-12,209.48386346088697,133.15029539245742,285.81743152931654
1917,2022-08-15,209.55229445160202,132.67794142009188,286.42664748311216
1918,2022-08-16,209.62072544231708,132.2088271397073,287.03262374492687
1919,2022-08-17,209.68915643303214,131.74288552470202,287.6354273413623
1920,2022-08-18,209.7575874237472,131.2800517643434,288.235123083151
1921,2022-08-19,209.82601841446225,130.8202631630606,288.8317736658639
1922,2022-08-22,209.8944494051773,130.36345904553738,289.42543976481727
1923,2022-08-23,209.96288039589237,129.90958066720268,290.0161801245821
1924,2022-08-24,210.03131138660743,129.45857112974738,290.60405164346747
1925,2022-08-25,210.09974237732249,129.01037530132837,291.18910945331663
1926,2022-08-26,210.16817336803754,128.5649397411446,291.7714069949305
1927,2022-08-29,210.2366043587526,128.12221262809766,292.35099608940754
1928,2022-08-30,210.30503534946766,127.68214369326839,292.9279270056669
1929,2022-08-31,210.37346634018272,127.24468415596435,293.50224852440107
1930,2022-09-01,210.44189733089777,126.80978666310969,294.07400799868583
1931,2022-09-02,210.51032832161283,126.37740523176637,294.6432514114593
1932,2022-09-06,210.5787593123279,125.94749519459187,295.2100234300639
1933,2022-09-07,210.64719030304295,125.5200131480518,295.7743674580341
1934,2022-09-08,210.715621293758,125.09491690321964,296.33632568429636
1935,2022-09-09,210.78405228447306,124.6721654390073,296.8959391299388
1936,2022-09-12,210.85248327518812,124.25171885768171,297.4532476926945
1937,2022-09-13,210.92091426590318,123.83353834253201,298.00829018927436
1938,2022-09-14,210.98934525661824,123.4175861175622,298.5611043956743
1939,2022-09-15,211.0577762473333,123.0038254090918,299.1117270855748
1940,2022-09-16,211.12620723804835,122.59222040915559,299.66019406694113
1941,2022-09-19,211.1946382287634,122.18273624060039,300.20654021692644
1942,2022-09-20,211.26306921947847,121.77533892378386,300.75079951517307
1943,2022-09-21,211.33150021019352,121.36999534478657,301.2930050756005
1944,2022-09-22,211.39993120090858,120.96667322505381,301.83318917676337
1945,2022-09-23,211.46836219162364,120.5653410923899,302.37138329085735
1946,2022-09-26,211.5367931823387,120.1659682532317,302.9076181114457
1947,2022-09-27,211.60522417305376,119.7685247661335,303.441923579974
1948,2022-09-28,211.6736551637688,119.37298141639883,303.9743289111388
1949,2022-09-29,211.74208615448387,118.9793096917997,304.50486261716804
1950,2022-09-30,211.81051714519893,118.58748175932642,305.03355253107145
1951,2022-10-03,211.878948135914,118.19747044291545,305.5604258289125
1952,2022-10-04,211.94737912662904,117.80924920210524,306.0855090511528
1953,2022-10-05,212.0158101173441,117.42279211157353,306.6088281231147
1954,2022-10-06,212.08424110805916,117.03807384151183,307.1304083746065
1955,2022-10-07,212.15267209877422,116.65506963879584,307.6502745587526
1956,2022-10-10,212.22110308948928,116.27375530891257,308.16845087006595
1957,2022-10-11,212.28953408020433,115.89410719860754,308.68496096180115
1958,2022-10-12,212.3579650709194,115.51610217921716,309.1998279626216
1959,2022-10-13,212.42639606163445,115.13971763065372,309.7130744926152
1960,2022-10-14,212.4948270523495,114.76493142601193,310.2247226786871
1961,2022-10-17,212.56325804306456,114.3917219167678,310.7347941693613
1962,2022-10-18,212.63168903377962,114.02006791854251,311.24331014901674
1963,2022-10-19,212.70012002449468,113.64994869740467,311.7502913515847
1964,2022-10-20,212.76855101520974,113.28134395668698,312.2557580737325
1965,2022-10-21,212.8369820059248,112.9142338242933,312.7597301875563
1966,2022-10-24,212.90541299663985,112.54859884047436,313.26222715280534
1967,2022-10-25,212.9738439873549,112.18441994605112,313.7632680286587
1968,2022-10-26,213.04227497806997,111.82167847106581,314.26287148507413
1969,2022-10-27,213.11070596878503,111.46035612384206,314.761055813728
1970,2022-10-28,213.17913695950008,111.10043498043596,315.2578389385642
1971,2022-10-31,213.24756795021514,110.74189747446151,315.7532384259688
1972,2022-11-01,213.3159989409302,110.38472638727391,316.24727149458647
1973,2022-11-02,213.38442993164526,110.02890483849593,316.7399550247946
1974,2022-11-03,213.45286092236032,109.6744162768724,317.2313055678482
1975,2022-11-04,213.52129191307537,109.32124447143941,317.72133935471135
1976,2022-11-07,213.58972290379043,108.96937350299483,318.21007230458605
1977,2022-11-08,213.6581538945055,108.61878775585785,318.6975200331531
1978,2022-11-09,213.72658488522055,108.26947190990565,319.18369786053546
1979,2022-11-10,213.7950158759356,107.92141093287583,319.66862081899535
1980,2022-11-11,213.86344686665066,107.57459007292401,320.1523036603773
1981,2022-11-14,213.93187785736572,107.22899485142615,320.6347608633053
1982,2022-11-15,214.00030884808078,106.88461105601601,321.11600664014554
1983,2022-11-16,214.06873983879584,106.5414247338483,321.59605494374335
1984,2022-11-17,214.1371708295109,106.1994221850789,322.0749194739429
1985,2022-11-18,214.20560182022595,105.85858995655323,322.5526136838987
1986,2022-11-21,214.274032810941,105.51891483569526,323.02915078618673
1987,2022-11-22,214.34246380165607,105.180383844589,323.5045437587231
1988,2022-11-23,214.41089479237112,104.8429842342453,323.97880535049694
1989,2022-11-25,214.47932578308618,104.50670347904692,324.45194808712546
1990,2022-11-28,214.54775677380124,104.17152927136526,324.9239842762372
1991,2022-11-29,214.6161877645163,103.8374495163419,325.3949260126907
1992,2022-11-30,214.68461875523136,103.50445232682948,325.8647851836332
1993,2022-12-01,214.7530497459464,103.17252601848539,326.33357347340745
1994,2022-12-02,214.82148073666147,102.84165910501318,326.80130236830973
1995,2022-12-05,214.88991172737653,102.51184029354593,327.2679831612071
1996,2022-12-06,214.9583427180916,102.18305848016658,327.73362695601656
1997,2022-12-07,215.02677370880664,101.85530274556051,328.1982446720528
1998,2022-12-08,215.0952046995217,101.52856235079516,328.66184704824826
1999,2022-12-09,215.16363569023676,101.20282673322265,329.12444464725087
2000,2022-12-12,215.23206668095182,100.87808550250075,329.58604785940287
2001,2022-12-13,215.30049767166688,100.55432843672837,330.04666690660537
2002,2022-12-14,215.36892866238193,100.23154547869099,330.5063118460729
2003,2022-12-15,215.437359653097,99.90972673221309,330.9649925739809
2004,2022-12-16,215.50579064381205,99.58886245861302,331.42271882901105
2005,2022-12-19,215.5742216345271,99.26894307325752,331.8795001957967
2006,2022-12-20,215.64265262524216,98.94995914221188,332.33534610827246
2007,2022-12-21,215.71108361595722,98.63190137898313,332.7902658529313
2008,2022-12-22,215.77951460667228,98.31476064135259,333.24426857199194
2009,2022-12-23,215.84794559738734,97.99852792829522,333.69736326647944
2010,2022-12-27,215.9163765881024,97.68319437698253,334.1495587992223
2011,2022-12-28,215.98480757881745,97.36875125986667,334.60086389776825
2012,2022-12-29,216.0532385695325,97.05518998184263,335.0512871572224
2013,2022-12-30,216.12166956024757,96.74250207748644,335.5008370430087
2014,2023-01-03,216.19010055096263,96.43067920836644,335.9495218935588
2015,2023-01-04,216.25853154167768,96.11971316042586,336.3973499229295
2016,2023-01-05,216.32696253239274,95.80959584143365,336.84432922335185
2017,2023-01-06,216.3953935231078,95.50031927850212,337.2904677677135
2018,2023-01-09,216.46382451382286,95.19187561566895,337.73577341197677
2019,2023-01-10,216.53225550453791,94.88425711154146,338.1802538975344
2020,2023-01-11,216.60068649525297,94.57745613700136,338.62391685350457
2021,2023-01-12,216.66911748596803,94.271465172968,339.06676979896804
2022,2023-01-13,216.7375484766831,93.96627680821844,339.50882014514775
2023,2023-01-17,216.80597946739815,93.66188373726239,339.9500751975339
2024,2023-01-18,216.8744104581132,93.35827875827052,340.3905421579559
2025,2023-01-19,216.94284144882826,93.0554547710544,340.83022812660215
2026,2023-01-20,217.01127243954332,92.75340477509666,341.26914010398997
2027,2023-01-23,217.07970343025838,92.45212186762957,341.7072849928872
2028,2023-01-24,217.14813442097343,92.15159924176095,342.1446696001859
