,Date,Forecast,Lower_CI,Upper_CI
1885,2022-06-29,289.0708878822826,260.25382382500663,317.88795193955855
1886,2022-06-30,289.2225578150809,260.05103680691644,318.39407882324537
1887,2022-07-01,289.375226634219,259.8526957182789,318.89775755015916
1888,2022-07-05,289.5270479470031,259.65691663584744,319.39717925815876
1889,2022-07-06,289.67958832760445,259.4650765153878,319.8941001398211
1890,2022-07-07,289.83151861422436,259.2757963486446,320.38724087980415
1891,2022-07-08,289.9839665358396,259.0900478572305,320.8778852144487
1892,2022-07-11,290.135975269401,258.90681775377476,321.36513278502724
1893,2022-07-12,290.28835663261145,258.72678741240884,321.84992585281407
1894,2022-07-13,290.440421837734,258.54920872703724,322.33163494843075
1895,2022-07-14,290.59275528757837,258.3745553590103,322.81095521614645
1896,2022-07-15,290.74486114485575,258.2022717417824,323.2874505479291
1897,2022-07-18,290.8971601033289,258.0326832257436,323.76163698091415
1898,2022-07-19,291.0492952248529,257.86537427754496,324.2332161721609
1899,2022-07-20,291.20156935403963,257.70056460819166,324.7025740998876
1900,2022-07-21,291.35372554200256,257.53794074524524,325.1695103387599
1901,2022-07-22,291.5059817973431,257.37764738861927,325.63431620606696
1902,2022-07-25,291.658153150393,257.2194456469713,326.0968606538147
1903,2022-07-26,291.8103965388967,257.06342717147203,326.5573659063214
1904,2022-07-27,291.96257880883024,256.90940774838634,327.01574986927415
1905,2022-07-28,292.1148129348905,256.75744170952356,327.4721841602574
1906,2022-07-29,292.2670030635557,256.6073850874548,327.9266210396566
1907,2022-08-01,292.41923052186525,256.4592661432288,328.3791949005017
1908,2022-08-02,292.5714263077918,256.3129706782812,328.8298819373024
1909,2022-08-03,292.72364896619104,256.16850891224203,329.27878902014004
1910,2022-08-04,292.87584882460743,256.0257887961046,329.72590885311024
1911,2022-08-05,293.02806802769754,255.88480822613244,330.1713278292626
1912,2022-08-08,293.1802708177753,255.7454917508408,330.6150498847098
1913,2022-08-09,293.33248753349375,255.60782900316093,331.05714606382656
1914,2022-08-10,293.48469243398506,255.4717570734249,331.4976277945452
1915,2022-08-11,293.63690735912047,255.3372602030849,331.93655451515605
1916,2022-08-12,293.7891137788342,255.20428505263214,332.3739425050362
1917,2022-08-15,293.9413274149835,255.07281249346542,332.80984233650156
1918,2022-08-16,294.09353492833907,254.94279657080938,333.24427328586876
1919,2022-08-17,294.2457476365866,254.81421619968222,333.677279073491
1920,2022-08-18,294.3979559372216,254.68703119562815,334.108880678815
1921,2022-08-19,294.55016797750085,254.5612194974566,334.5391164575451
1922,2022-08-22,294.70237684487427,254.43674549201467,334.96800819773387
