,Date,Forecast,Lower_CI,Upper_CI
1844,2022-04-29,119.21525595958502,116.7854188395603,121.64509307960975
1845,2022-05-02,119.2676452829763,115.92703008507134,122.60826048088127
1846,2022-05-03,119.33069854082562,115.2775061243529,123.38389095729835
1847,2022-05-04,119.36799276879304,114.70616834811625,124.02981718946984
1848,2022-05-05,119.43152915386501,114.23431813603361,124.62874017169642
1849,2022-05-06,119.46920796122603,113.78358298665819,125.15483293579388
1850,2022-05-09,119.53231474395992,113.3990697622803,125.66555972563953
1851,2022-05-10,119.57041904245408,113.01732851246851,126.12350957243964
1852,2022-05-11,119.63310727273321,112.68722235061028,126.57899219485614
1853,2022-05-12,119.6716231277763,112.35160898818793,126.99163726736467
1854,2022-05-13,119.73390669067439,112.05947690514178,127.408336476207
1855,2022-05-16,119.77282043864015,111.75751221138597,127.78812866589433
1856,2022-05-17,119.83471276970059,111.49376797185819,128.175657567543
1857,2022-05-18,119.87401119992936,111.21776071318256,128.53026168667614
1858,2022-05-19,119.93552528865577,110.97624068148843,128.8948098958231
1859,2022-05-20,119.97519562909979,110.72105457695504,129.22933668124452
1860,2022-05-23,120.0363440337243,110.49752153130177,129.57516653614684
1861,2022-05-24,120.07637393638763,110.25952472565172,129.89322314712354
1862,2022-05-25,120.13716879818958,110.05091960265014,130.22341799372902
1863,2022-05-26,120.17754632504888,109.82743144601521,130.52766120408256
1864,2022-05-27,120.23799938219831,109.63146151642898,130.84453724796765
1865,2022-05-31,120.27871299159112,109.42043617415526,131.13698980902697
1866,2022-06-01,120.3388355925326,109.23533149553299,131.44233968953222
1867,2022-06-02,120.37987412599757,109.03516519116516,131.72458306082999
1868,2022-06-03,120.43967724238972,108.85952627036977,132.01982821440967
1869,2022-06-06,120.48102991194372,108.66893381459336,132.29312600929407
1870,2022-06-07,120.54052415116908,108.50163193080267,132.5794163715355
1871,2022-06-08,120.58218052700676,108.31956434098898,132.84479671302452
1872,2022-06-09,120.6413761442663,108.15967386508542,133.12307842344717
1873,2022-06-10,120.683326142868,107.98526150895233,133.38139077678366
1874,2022-06-13,120.74223305287414,107.83201250168659,133.6524536040617
1875,2022-06-14,120.7844669255087,107.66452472007954,133.90440913093786
1876,2022-06-15,120.84309471379002,107.51726884688568,134.16892058069436
1877,2022-06-16,120.88560303539928,107.35608457003073,134.41512150076784
1878,2022-06-17,120.94396096922995,107.21427002950011,134.67365190895978
1879,2022-06-21,120.98673462768232,107.0588559363004,134.91461331906424
1880,2022-06-22,121.04483166664862,106.92200865145749,135.16765468183974
1881,2022-06-23,121.08786185234938,106.7719026323086,135.40382107239014
1882,2022-06-24,121.14570665856543,106.63961189386127,135.65180142326957
1883,2022-06-27,121.18898485441206,106.49441032309534,135.88355938572877
1884,2022-06-28,121.24658580239638,106.36631766169673,136.12685394309602
1885,2022-06-29,121.2901037740674,106.22566545888412,136.35454208925069
1886,2022-06-30,121.34746896029151,106.10145590156561,136.5934820190174
1887,2022-07-01,121.39121874685766,105.96503866915288,136.81739882456245
1888,2022-07-05,121.4483559989776,105.84443378443454,137.05227821352068
1889,2022-07-06,121.49232990382485,105.71197151480338,137.27268829284634
1890,2022-07-07,121.54924678960643,105.5947238191074,137.50376976010546
1891,2022-07-08,121.59343737166026,105.46596580419501,137.7209089391255
1892,2022-07-11,121.65014120760767,105.35185421782079,137.94842819739455
1893,2022-07-12,121.69454127284875,105.22657489166676,138.16250765403075
1894,2022-07-13,121.75103913254691,105.11540101356384,138.38667725152996
1895,2022-07-14,121.79564172580854,104.99339652680726,138.5978869248098
1896,2022-07-15,121.85194044798838,104.88498155502225,138.81889934095452
1897,2022-07-18,121.89673884502618,104.76606692961835,139.027410760434
1898,2022-07-19,121.95284504136215,104.66024909593509,139.24544098678922
1899,2022-07-20,121.99783274118705,104.5442558441889,139.45140963818523
1900,2022-07-21,122.05375280383579,104.44088826198083,139.66661734569075
1901,2022-07-22,122.09892352130167,104.32766238040368,139.87018466219968
1902,2022-07-25,122.15466363019026,104.22661122733444,140.08271603304607
1903,2022-07-26,122.20001128882758,104.11601149552982,140.28401108212535
1904,2022-07-27,122.25557741869994,104.01715446970653,140.49400036769336
1905,2022-07-28,122.30109614378742,103.90905099935213,140.6931412882227
1906,2022-07-29,122.35649407101675,103.8122760004017,140.90071214163183
1907,2022-08-01,122.40217818288289,103.70654899071975,141.09780737504605
1908,2022-08-02,122.4574134920578,103.61175298711105,141.30307399700453
1909,2022-08-03,122.50325749960507,103.50829165193312,141.49822334727702
1910,2022-08-04,122.55833558989717,103.4153797034836,141.70129147631076
1911,2022-08-05,122.60433418434096,103.31408134178014,141.89458702690177
1912,2022-08-08,122.65926027566097,103.22296575222057,142.09555479910136
1913,2022-08-09,122.70540832447656,103.1237349392616,142.28708170969153
1914,2022-08-10,122.76018746342613,103.03433451839899,142.48604040845328
1915,2022-08-11,122.80648000449659,102.93708239888834,142.67587761010486
1916,2022-08-12,122.86111707012232,102.84932181759962,142.87291232264502
1917,2022-08-15,122.9075493060807,102.75396548544606,143.06113312671533
1918,2022-08-16,122.96204901543729,102.66777470968148,143.2563233211931
1919,2022-08-17,123.00861630819662,102.5742366617251,143.44299595466816
1920,2022-08-18,123.06298322172523,102.4895504540636,143.63641598938685
1921,2022-08-19,123.1096810871903,102.39775810721575,143.82160406716486
1922,2022-08-22,123.16391961391838,102.31451558642549,144.01332364141126
1923,2022-08-23,123.2107437168728,102.22440084941294,144.19708658433265
1924,2022-08-24,123.26485811944124,102.14254510002075,144.38717113886173
