Date,Adj Close
2021-07-23,137.815994
2021-07-26,139.644501
2021-08-09,138.001999
2021-08-10,138.096497
2021-08-11,137.689499
2021-08-12,138.389496
2021-08-13,138.406006
2021-08-16,138.916
2021-08-20,138.436996
2021-08-23,141.099503
2021-08-24,142.398499
2021-08-25,142.949997
2021-08-26,142.123001
2021-08-27,144.550507
2021-08-30,145.469498
2021-08-31,145.462006
2021-09-01,145.841995
2021-09-02,144.218994
2021-09-03,144.774994
2021-09-07,145.518997
2021-09-08,144.883499
2021-09-09,144.913498
2021-09-10,141.921005
2021-09-13,143.464996
2021-09-14,143.406006
2021-09-15,145.205994
2021-09-16,144.373505
2021-09-17,141.463501
2021-09-20,139.016998
2021-09-21,139.6465
2021-09-22,140.938507
2021-09-23,141.826508
2021-09-24,142.632996
2021-09-27,141.501007
2021-10-07,139.185501
2021-10-08,140.056
2021-10-11,138.847504
2021-10-13,137.899994
2021-10-14,141.412003
2021-10-15,141.675003
2021-10-18,142.960495
2021-10-19,143.822006
2021-10-20,142.414993
2021-10-21,142.780502
2021-10-22,138.625
2021-10-25,138.772995
2021-10-26,139.671997
2021-10-27,146.427505
2021-10-28,146.128998
2021-10-29,148.270493
2021-11-01,143.774002
2021-11-02,145.863007
2021-11-03,146.789993
2021-11-04,148.682999
2021-11-05,149.240997
2021-11-08,149.351501
2021-11-09,149.248505
2021-11-10,146.626007
2021-11-11,146.748001
2021-11-12,149.645493
2021-11-15,149.388
2021-11-16,149.076004
2021-11-17,149.061996
2021-11-18,150.709
2021-11-19,149.952499
2021-11-22,147.078506
2021-11-23,146.757004
2021-11-24,146.717499
2021-11-26,142.806
2021-11-29,146.113998
2021-11-30,142.451996
2021-12-01,141.617996
2021-12-02,143.776505
2021-12-03,142.520493
2021-12-06,143.796494
2021-12-07,148.036499
2021-12-08,148.720505
2021-12-09,148.106003
2021-12-10,148.675003
2021-12-13,146.704498
2021-12-14,144.970505
2021-12-15,147.3685
2021-12-16,144.838501
2021-12-17,142.802994
2021-12-20,142.401505
2021-12-21,144.220505
2021-12-22,146.949005
2021-12-23,147.142502
2021-12-27,148.063995
2021-12-28,146.447998
2021-12-29,146.504501
2021-12-30,146.002502
2021-12-31,144.679504
2022-01-03,145.074493
2022-01-04,144.416504
2022-01-05,137.653503
2022-01-10,138.574005
2022-01-11,140.017502
2022-01-12,141.647995
2022-01-13,139.130997
2022-01-14,139.786499
2022-02-01,137.878494
2022-02-02,148.036499
2022-02-03,142.650497
2022-02-04,143.016006
2022-02-07,138.938004
2022-02-08,139.212997
2022-02-09,141.453003
2022-02-10,138.602493
2022-03-22,140.277496
2022-03-23,138.503494
2022-03-24,141.311996
2022-03-25,141.5215
2022-03-28,141.949997
2022-03-29,143.25
2022-03-30,142.644501
2022-03-31,139.649506
2022-04-01,140.699997
2022-04-04,143.642502
2022-04-05,141.063004
2023-09-11,137.740005
2023-09-14,138.990005
2023-09-15,138.300003
2023-09-18,138.960007
2023-09-19,138.830002
2023-10-06,138.729996
2023-10-09,139.5
2023-10-10,139.199997
2023-10-11,141.699997
2023-10-12,140.289993
2023-10-13,138.580002
2023-10-16,140.490005
2023-10-17,140.990005
2023-10-18,139.279999
2023-10-19,138.979996
2023-10-23,137.899994
2023-10-24,140.119995
2023-11-16,138.699997
2023-11-20,137.919998
2023-11-21,138.619995
2023-11-22,140.020004
2023-11-24,138.220001
2023-11-27,138.050003
2023-11-28,138.619995
2023-12-07,138.449997
2023-12-19,138.100006
2023-12-20,139.660004
2023-12-21,141.800003
2023-12-22,142.720001
2023-12-26,142.820007
2023-12-27,141.440002
2023-12-28,141.279999
2023-12-29,140.929993
2024-01-02,139.559998
2024-01-03,140.360001
2024-01-04,138.039993
2024-01-08,140.529999
2024-01-09,142.559998
2024-01-10,143.800003
2024-01-11,143.669998
2024-01-12,144.240005
2024-01-16,144.080002
2024-01-17,142.889999
2024-01-18,144.990005
2024-01-19,147.970001
2024-01-22,147.710007
2024-01-23,148.679993
2024-01-24,150.350006
2024-01-25,153.639999
2024-01-26,153.789993
2024-01-29,154.839996
2024-01-30,153.050003
2024-01-31,141.800003
2024-02-01,142.710007
2024-02-02,143.539993
2024-02-05,144.929993
2024-02-06,145.410004
2024-02-07,146.679993
2024-02-08,147.220001
2024-02-09,150.220001
2024-02-12,148.729996
2024-02-13,146.369995
2024-02-14,147.139999
2024-02-15,143.940002
2024-02-16,141.759995
2024-02-20,142.199997
2024-02-21,143.839996
2024-02-22,145.320007
2024-02-23,145.289993
2024-02-26,138.75
2024-02-27,140.100006
2024-02-29,139.779999
