,Forecast,Lower_CI,Upper_CI
2024-03-01,117.01091231744091,107.90047274815916,126.12135188672265
2024-03-04,117.11485627499127,106.85656740658617,127.37314514339637
2024-03-05,117.11900270909926,106.37606387591732,127.8619415422812
2024-03-06,117.20807226738529,105.71065189493376,128.70549263983682
2024-03-07,117.21533771624456,105.31757212293431,129.11310330955482
2024-03-08,117.3022552443655,104.83106808781372,129.77344240091728
2024-03-11,117.31154881215754,104.47400197380686,130.1490956505082
2024-03-12,117.39649511789106,104.09029322198835,130.70269701379377
2024-03-13,117.4077094396821,103.75824012736174,131.05717875200244
2024-03-14,117.49078378961329,103.43961349871093,131.54195408051564
2024-03-15,117.50382253827183,103.12885815578983,131.87878692075384
2024-03-18,117.58511878120879,102.85405775107844,132.31617981133914
2024-03-19,117.59989049317049,102.56245698491506,132.63732400142592
2024-03-20,117.67949777034511,102.31865723465121,133.04033830603902
2024-03-21,117.69591556756612,102.0444142168231,133.34741691830914
2024-03-22,117.77391855130779,101.82350396934402,133.72433313327156
2024-03-25,117.79189991117205,101.56494169914075,134.01885812320336
2024-03-26,117.86837902896177,101.36158739965806,134.37517065826546
2024-03-27,117.88784556593072,101.11714248819112,134.65854864367031
2024-03-28,117.96287721320677,100.92770938677668,134.99804503963685
2024-03-29,117.98375447141655,100.69595620454359,135.2715527382895
2024-04-01,118.05741121371142,100.51788151958371,135.5969409078391
2024-04-02,118.07962846996794,100.29754555632292,135.86171138361297
2024-04-03,118.15197923491172,100.12896281572945,136.17499565409398
2024-04-04,118.17546931156205,99.91892004619555,136.43201857692856
2024-04-05,118.24657957126009,99.7584280998372,136.73473104268297
2024-04-08,118.27127865844501,99.55769504562778,136.98486227126224
2024-04-09,118.34121060271247,99.40421263526021,137.2782085701647
2024-04-10,118.36705808953015,99.21193186094675,137.52218431811355
2024-04-11,118.435870790442,99.06460390149135,137.80713767939267
2024-04-12,118.46280910457567,98.88002818305439,138.04559002609693
2024-04-15,118.5305586727672,98.73816392124967,138.32295342428472
2024-04-16,118.55853312815293,98.56064094345392,138.55642531285193
2024-04-17,118.62527286128464,98.4236721487152,138.82687357385407
2024-04-18,118.6542315134158,98.25263063523069,139.0558323916009
2024-04-19,118.72001203719518,98.1200826281127,139.31994144627765
2024-04-22,118.74990554568087,97.95502023152825,139.54479085983348
2024-04-23,118.81477494781458,97.82649130854696,139.8030585870822
2024-04-24,118.84555644582849,97.66696427139306,140.0241486202639
2024-04-25,118.90956040325902,97.54211073940756,140.2770100671105
2024-04-26,118.941185373533,97.38772518329476,140.49464556377126
2024-04-29,119.00436727329667,97.2662502247303,140.74248432186303
2024-04-30,119.03679343033119,97.11665486419514,140.95693199646723
2024-05-01,119.09919448435718,96.99830007721171,141.20008889150265
2024-05-02,119.13238166253689,96.85318014456266,141.41158318051112
2024-05-03,119.19404101669123,96.73771899264048,141.65036304074198
2024-05-06,119.22795106400946,96.59679117431313,141.8591109537058
2024-05-07,119.28890590167214,96.48402382813893,142.09378797520534
2024-05-08,119.32350257878346,96.34703203732975,142.29997312023718
2024-05-09,119.38378821923313,96.23678125252451,142.53079518594174
2024-05-10,119.4190371035665,96.10349308948841,142.7345811176446
2024-05-13,119.47868709543272,95.99560086941699,142.96177332144845
2024-05-14,119.5145554901118,95.86580464602982,143.16330633419378
2024-05-15,119.5736017001425,95.76012950974082,143.38707389054417
2024-05-16,119.61005854747204,95.63363173716773,143.58648535777633
2024-05-17,119.66853124485058,95.53004646083416,143.807016028867
2024-05-20,119.70554704413985,95.40666971798274,144.00442437029696
2024-05-21,119.76347498057524,95.30505945182082,144.22189050932963
2024-05-22,119.80102171008134,95.18464056783034,144.41740285233234
2024-05-23,119.85843219588324,95.0849012542834,144.63196313748307
2024-05-24,119.89648323866749,94.96728975098341,144.82567672635153
2024-05-27,119.95340221500733,94.86932678713545,145.0374776428792
2024-05-28,119.99193228850869,94.75438353764343,145.22948103937392
